structure_id,prompt,brick_rejections
af09dc1a-bf90-45a5-996c-74f052a0ad13,Rectangular car body with angular extensions and tiered surfaces.,68
af09dc1a-bf90-45a5-996c-74f052a0ad13,Angular vehicle with a streamlined roof and pronounced rectangular base.,137
af09dc1a-bf90-45a5-996c-74f052a0ad13,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",62
af09dc1a-bf90-45a5-996c-74f052a0ad13,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",382
50a9225a-5599-4128-aee9-e716458f102e,Compact car shape with geometric components.,1045
50a9225a-5599-4128-aee9-e716458f102e,Rectangular car body with angular extensions and tiered surfaces.,35
50a9225a-5599-4128-aee9-e716458f102e,Angular vehicle with a streamlined roof and pronounced rectangular base.,431
50a9225a-5599-4128-aee9-e716458f102e,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",36
50a9225a-5599-4128-aee9-e716458f102e,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",188
fe042a53-55db-4885-8e36-02683200f1c4,Compact car with a blocky form.,134
fe042a53-55db-4885-8e36-02683200f1c4,Compact automobile featuring a block-based rectangular body.,169
fe042a53-55db-4885-8e36-02683200f1c4,"Automobile with a rectangular body, flat roof, and angular sides.",702
fe042a53-55db-4885-8e36-02683200f1c4,"Car with a rectangular body, a flat top, and an angled front. The vehicle has blocky wheels set underneath.",163
fe042a53-55db-4885-8e36-02683200f1c4,"Rectangular car with a flat upper surface and sloped front. The front features a protruding block arrangement, while four square wheels with block edges support the body.",128
0ea3be70-6bd2-448f-9f96-34ce244bd03f,Compact car with smooth contours and angular lines.,36
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Angular car with a flat top, hinted curves, and geometric sides.",145
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",30
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",91
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",330
cace7e3a-663a-4990-ae56-293cda033d3c,Compact car with smooth contours and angular lines.,263
cace7e3a-663a-4990-ae56-293cda033d3c,"Angular car with a flat top, hinted curves, and geometric sides.",482
cace7e3a-663a-4990-ae56-293cda033d3c,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",213
cace7e3a-663a-4990-ae56-293cda033d3c,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",267
cace7e3a-663a-4990-ae56-293cda033d3c,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",382
