structure_id,prompt,brick_rejections
8dc76e5f-6cb1-4be0-8090-c3315ba4f9de,Compact car with blocky design and angular shapes.,24
8dc76e5f-6cb1-4be0-8090-c3315ba4f9de,"A compact car featuring a robust, rectangular body with angular edges.",274
8dc76e5f-6cb1-4be0-8090-c3315ba4f9de,"The car displays a blocky form with a rectangular base, sloped front, and sturdy top.",458
8dc76e5f-6cb1-4be0-8090-c3315ba4f9de,"A compact vehicle with rectangular body, raised block-shaped hood, and flat rear section.",277
8dc76e5f-6cb1-4be0-8090-c3315ba4f9de,"This car exhibits a blocky, angular form with a rectangular base, sloped front, raised hood, and flat rear section. Rectangular layers define its sides, forming a compact and structured appearance.",0
66197375-9347-4a14-affd-a60a7c911327,Compact car with blocky design and angular shapes.,129
66197375-9347-4a14-affd-a60a7c911327,"A compact car featuring a robust, rectangular body with angular edges.",136
66197375-9347-4a14-affd-a60a7c911327,"The car displays a blocky form with a rectangular base, sloped front, and sturdy top.",190
66197375-9347-4a14-affd-a60a7c911327,"A compact vehicle with rectangular body, raised block-shaped hood, and flat rear section.",114
66197375-9347-4a14-affd-a60a7c911327,"This car exhibits a blocky, angular form with a rectangular base, sloped front, raised hood, and flat rear section. Rectangular layers define its sides, forming a compact and structured appearance.",286
9f506568-77fb-47e1-aadc-c3182dab6116,"A car with a compact, rectangular outline.",163
9f506568-77fb-47e1-aadc-c3182dab6116,A compact car with a stepped front and boxy contours.,857
9f506568-77fb-47e1-aadc-c3182dab6116,"Compact car featuring a rectangular shape, stepped front, and tiered top.",104
9f506568-77fb-47e1-aadc-c3182dab6116,"The car features a rectangular, elongated shape with a stepped front and layered sections creating a tiered upper surface.",10
9f506568-77fb-47e1-aadc-c3182dab6116,"This car has a compact, elongated rectangular body with a stepped front, and a layered top surface. The base is mostly uniform, while the upper part transitions from wide to narrow, giving it distinct contours at the rear, and flat side panels with a slightly indented appearance.",153
c96d632e-611c-41b7-824b-44be0dbf4a71,"A car with a compact, rectangular outline.",63
c96d632e-611c-41b7-824b-44be0dbf4a71,A compact car with a stepped front and boxy contours.,163
c96d632e-611c-41b7-824b-44be0dbf4a71,"Compact car featuring a rectangular shape, stepped front, and tiered top.",47
c96d632e-611c-41b7-824b-44be0dbf4a71,"The car features a rectangular, elongated shape with a stepped front and layered sections creating a tiered upper surface.",162
c96d632e-611c-41b7-824b-44be0dbf4a71,"This car has a compact, elongated rectangular body with a stepped front, and a layered top surface. The base is mostly uniform, while the upper part transitions from wide to narrow, giving it distinct contours at the rear, and flat side panels with a slightly indented appearance.",21
ce6b9d79-3bd7-4b96-8d4f-e2402211d44b,Compact car with smooth curves and angular edges.,434
ce6b9d79-3bd7-4b96-8d4f-e2402211d44b,Car form with chiseled contours and a prominent rectangular front.,88
ce6b9d79-3bd7-4b96-8d4f-e2402211d44b,"Vehicle with a solid blocky structure, arched roof, and rectangular front extension.",105
ce6b9d79-3bd7-4b96-8d4f-e2402211d44b,"The car features a flat top, rounded rear, and angular front. The sides are vertically aligned, forming a cohesive, rigid body.",8
ce6b9d79-3bd7-4b96-8d4f-e2402211d44b,"A compact car characterized by its angular front, smooth roof curvature transitioning to a flattened rear, and vertically aligned side panels. The frontal section extends forward, creating a slightly protruding appearance, while the roof arch smoothly integrates with the body.",31
5e42b486-fed0-4b41-a3bc-34bd6e176bed,Compact car with smooth curves and angular edges.,23
5e42b486-fed0-4b41-a3bc-34bd6e176bed,Car form with chiseled contours and a prominent rectangular front.,24
5e42b486-fed0-4b41-a3bc-34bd6e176bed,"Vehicle with a solid blocky structure, arched roof, and rectangular front extension.",174
5e42b486-fed0-4b41-a3bc-34bd6e176bed,"The car features a flat top, rounded rear, and angular front. The sides are vertically aligned, forming a cohesive, rigid body.",123
5e42b486-fed0-4b41-a3bc-34bd6e176bed,"A compact car characterized by its angular front, smooth roof curvature transitioning to a flattened rear, and vertically aligned side panels. The frontal section extends forward, creating a slightly protruding appearance, while the roof arch smoothly integrates with the body.",327
4e133453-c834-4d72-9bf3-170b862a7be2,A vehicle shape with defined edges and layered contours. ,226
4e133453-c834-4d72-9bf3-170b862a7be2,Automobile structure featuring a blocky form with a sloped front. ,371
4e133453-c834-4d72-9bf3-170b862a7be2,Rectangular vehicle form with tiered layers and an indented front section.,277
4e133453-c834-4d72-9bf3-170b862a7be2,"Geometric vehicle featuring an elongated body, a layered roof, and a recessed front grille. ",47
4e133453-c834-4d72-9bf3-170b862a7be2,"Car with an elongated rectangular body, stepped roof design, distinct vertical grille, and block-like construction. The body is detailed with tiered contours, the top tapering slightly at the rear, and the sides display uniform block patterns.",83
bfa5bdc4-cb16-4bb2-a677-cd9721264f08,A vehicle shape with defined edges and layered contours. ,55
bfa5bdc4-cb16-4bb2-a677-cd9721264f08,Automobile structure featuring a blocky form with a sloped front. ,38
bfa5bdc4-cb16-4bb2-a677-cd9721264f08,Rectangular vehicle form with tiered layers and an indented front section.,264
bfa5bdc4-cb16-4bb2-a677-cd9721264f08,"Geometric vehicle featuring an elongated body, a layered roof, and a recessed front grille. ",129
bfa5bdc4-cb16-4bb2-a677-cd9721264f08,"Car with an elongated rectangular body, stepped roof design, distinct vertical grille, and block-like construction. The body is detailed with tiered contours, the top tapering slightly at the rear, and the sides display uniform block patterns.",165
c4b1398e-e502-498a-9f24-2021197b318e,"Compact car with a blocky, angular form.",419
c4b1398e-e502-498a-9f24-2021197b318e,"Angular compact car featuring a distinct, rectangular shape.",190
c4b1398e-e502-498a-9f24-2021197b318e,Compact car with angular form and rectangular roof and body.,28
c4b1398e-e502-498a-9f24-2021197b318e,"Rectangular car shape, block-like body, elevated rear section.",1
c4b1398e-e502-498a-9f24-2021197b318e,"The car has a rectangular body with a distinct blocky form. Its roof is seamless with the body, and the rear section is slightly elevated. Rectangular elements constitute the base, while cylindrical components outline the front and back. The sides feature small geometric protrusions.",151
e94c16ec-ce97-4405-8a60-7f4c3042dafd,"Compact car with a blocky, angular form.",175
e94c16ec-ce97-4405-8a60-7f4c3042dafd,"Angular compact car featuring a distinct, rectangular shape.",457
e94c16ec-ce97-4405-8a60-7f4c3042dafd,Compact car with angular form and rectangular roof and body.,2
e94c16ec-ce97-4405-8a60-7f4c3042dafd,"Rectangular car shape, block-like body, elevated rear section.",323
e94c16ec-ce97-4405-8a60-7f4c3042dafd,"The car has a rectangular body with a distinct blocky form. Its roof is seamless with the body, and the rear section is slightly elevated. Rectangular elements constitute the base, while cylindrical components outline the front and back. The sides feature small geometric protrusions.",89
2518999c-17a3-463f-a699-8be97ea6acb2,Car with a rectangular body and layered exterior.,434
2518999c-17a3-463f-a699-8be97ea6acb2,Rectangular car featuring a tiered roof and flat front.,207
2518999c-17a3-463f-a699-8be97ea6acb2,"Car with a smooth, layered roof, flat sides, and angled rear.",257
2518999c-17a3-463f-a699-8be97ea6acb2,"A compact car structure with a tiered top, flat sides, and a subtly angled front and rear.",45
