structure_id,prompt,regenerations
37d342d0-3467-43b8-b203-5c2580462327,"Car with a box-like body, flat roof, and angular contours.",17
37d342d0-3467-43b8-b203-5c2580462327,"Boxy car form with a flat top, square wheels, and protruding front section.",0
37d342d0-3467-43b8-b203-5c2580462327,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",1
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,Compact vehicle with rounded edges and blocky structure.,21
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,Rectangular car form with rounded corners and layered sections.,2
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,The car features a block-like shape with a gently sloping front and squared rear.,5
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",100
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",25
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,Compact vehicle with rounded edges and blocky structure.,9
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,Rectangular car form with rounded corners and layered sections.,0
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,The car features a block-like shape with a gently sloping front and squared rear.,4
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",4
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",2
5bec0bfc-8136-466e-805f-7e5192f0d719,Compact car with blocky geometric features.,2
5bec0bfc-8136-466e-805f-7e5192f0d719,Car form with angular contours and layered surfaces.,15
5bec0bfc-8136-466e-805f-7e5192f0d719,"Block-shaped car with a flat roof, stepped sides, and protruding front.",0
5bec0bfc-8136-466e-805f-7e5192f0d719,"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",2
5bec0bfc-8136-466e-805f-7e5192f0d719,"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",33
f4059a6f-0557-4f70-9643-811d78e48065,Compact car with blocky geometric features.,26
f4059a6f-0557-4f70-9643-811d78e48065,Car form with angular contours and layered surfaces.,22
f4059a6f-0557-4f70-9643-811d78e48065,"Block-shaped car with a flat roof, stepped sides, and protruding front.",9
f4059a6f-0557-4f70-9643-811d78e48065,"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",1
f4059a6f-0557-4f70-9643-811d78e48065,"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",5
3cf62c1e-8026-47b9-bfc4-27664894343c,A basic car shape with a compact structure.,2
3cf62c1e-8026-47b9-bfc4-27664894343c,Compact automobile form with an angular roof and defined edges.,2
3cf62c1e-8026-47b9-bfc4-27664894343c,"Car with an angular rear and prominent, tiered front hood contours.",0
3cf62c1e-8026-47b9-bfc4-27664894343c,"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",5
3cf62c1e-8026-47b9-bfc4-27664894343c,"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",8
977a1644-3d13-42c4-a62c-2649163a30c6,A basic car shape with a compact structure.,1
977a1644-3d13-42c4-a62c-2649163a30c6,Compact automobile form with an angular roof and defined edges.,10
977a1644-3d13-42c4-a62c-2649163a30c6,"Car with an angular rear and prominent, tiered front hood contours.",4
977a1644-3d13-42c4-a62c-2649163a30c6,"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",9
977a1644-3d13-42c4-a62c-2649163a30c6,"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",2
ff4086b1-b7f1-4cf5-9c16-1d55d01869ea,"Car with rectangular body, smooth curves, and solid build.",1
ff4086b1-b7f1-4cf5-9c16-1d55d01869ea,"Compact car with smooth curves, flat roof, and even sides.",1
ff4086b1-b7f1-4cf5-9c16-1d55d01869ea,"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",7
ff4086b1-b7f1-4cf5-9c16-1d55d01869ea,"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",3
ff4086b1-b7f1-4cf5-9c16-1d55d01869ea,"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",7
ce23086c-1512-4a81-93b6-ce4d7c15afd7,"Car with rectangular body, smooth curves, and solid build.",4
ce23086c-1512-4a81-93b6-ce4d7c15afd7,"Compact car with smooth curves, flat roof, and even sides.",13
ce23086c-1512-4a81-93b6-ce4d7c15afd7,"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",3
ce23086c-1512-4a81-93b6-ce4d7c15afd7,"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",8
ce23086c-1512-4a81-93b6-ce4d7c15afd7,"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",3
bea508b3-092a-4be5-999a-802d3f5690f2,Compact car form with angular features and layered structure.,5
bea508b3-092a-4be5-999a-802d3f5690f2,"The car exhibits a rectangular body with stacked, tiered elements.",27
bea508b3-092a-4be5-999a-802d3f5690f2,Car features a cubic body with staggered layers and a flat roof.,2
bea508b3-092a-4be5-999a-802d3f5690f2,"The auto has a blocky front, stepped roof, and angular rear.",0
bea508b3-092a-4be5-999a-802d3f5690f2,"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",3
681b1b36-72b0-4e95-99e0-1f3c70248ccf,Compact car form with angular features and layered structure.,7
681b1b36-72b0-4e95-99e0-1f3c70248ccf,"The car exhibits a rectangular body with stacked, tiered elements.",7
681b1b36-72b0-4e95-99e0-1f3c70248ccf,Car features a cubic body with staggered layers and a flat roof.,55
681b1b36-72b0-4e95-99e0-1f3c70248ccf,"The auto has a blocky front, stepped roof, and angular rear.",18
681b1b36-72b0-4e95-99e0-1f3c70248ccf,"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",17
e9a88922-ad49-4a0a-b2ef-4d28b2891958,Car with angular design and rectangular features.,2
e9a88922-ad49-4a0a-b2ef-4d28b2891958,Rectangular car shape with a tiered rooftop and sloped front.,4
e9a88922-ad49-4a0a-b2ef-4d28b2891958,"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",1
e9a88922-ad49-4a0a-b2ef-4d28b2891958,"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",6
e9a88922-ad49-4a0a-b2ef-4d28b2891958,"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",3
154f1293-361d-4e9e-91f9-e659b2d195d5,Car with angular design and rectangular features.,1
154f1293-361d-4e9e-91f9-e659b2d195d5,Rectangular car shape with a tiered rooftop and sloped front.,2
154f1293-361d-4e9e-91f9-e659b2d195d5,"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",5
154f1293-361d-4e9e-91f9-e659b2d195d5,"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",2
154f1293-361d-4e9e-91f9-e659b2d195d5,"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",7
9e8b7d0f-11a6-4d4e-b9c7-439a717f7520,Compact car with rectangular body and geometric features.,1
9e8b7d0f-11a6-4d4e-b9c7-439a717f7520,Rectangular car form with angular lines and protrusions.,3
9e8b7d0f-11a6-4d4e-b9c7-439a717f7520,"Car with elongated rectangular body, layered top, and structured base.",8
9e8b7d0f-11a6-4d4e-b9c7-439a717f7520,"Rectangular car form featuring a tiered top, angular sides, and defined edges.",13
9e8b7d0f-11a6-4d4e-b9c7-439a717f7520,"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",10
e2963b0a-b2a4-4902-9924-d958f79940eb,Compact car with rectangular body and geometric features.,9
e2963b0a-b2a4-4902-9924-d958f79940eb,Rectangular car form with angular lines and protrusions.,4
e2963b0a-b2a4-4902-9924-d958f79940eb,"Car with elongated rectangular body, layered top, and structured base.",3
e2963b0a-b2a4-4902-9924-d958f79940eb,"Rectangular car form featuring a tiered top, angular sides, and defined edges.",33
e2963b0a-b2a4-4902-9924-d958f79940eb,"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",0
98b30096-b482-471d-8a0a-a90b84770a24,Compact car with a rectangular body and distinct contours.,36
98b30096-b482-471d-8a0a-a90b84770a24,Rectangular car with elevated rear section and rounded front edges.,3
98b30096-b482-471d-8a0a-a90b84770a24,"Car with a flat top, sloped windshield, and tiered rear section.",0
98b30096-b482-471d-8a0a-a90b84770a24,"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",3
98b30096-b482-471d-8a0a-a90b84770a24,"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",2
334e7c6a-4ecb-42fb-9dd2-a17697453864,Compact car with a rectangular body and distinct contours.,11
334e7c6a-4ecb-42fb-9dd2-a17697453864,Rectangular car with elevated rear section and rounded front edges.,1
334e7c6a-4ecb-42fb-9dd2-a17697453864,"Car with a flat top, sloped windshield, and tiered rear section.",3
334e7c6a-4ecb-42fb-9dd2-a17697453864,"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",6
334e7c6a-4ecb-42fb-9dd2-a17697453864,"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",4
0cb6d2ed-745e-457e-b795-54153b2651d1,Compact vehicle featuring layered rectangular components.,3
0cb6d2ed-745e-457e-b795-54153b2651d1,"A compact automobile with layered, rectangular elements forming its core.",33
0cb6d2ed-745e-457e-b795-54153b2651d1,Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,4
0cb6d2ed-745e-457e-b795-54153b2651d1,"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",2
0cb6d2ed-745e-457e-b795-54153b2651d1,"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",1
93233f08-ae76-4740-990f-34b18a1b4f66,Compact vehicle featuring layered rectangular components.,22
93233f08-ae76-4740-990f-34b18a1b4f66,"A compact automobile with layered, rectangular elements forming its core.",10
93233f08-ae76-4740-990f-34b18a1b4f66,Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,14
93233f08-ae76-4740-990f-34b18a1b4f66,"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",2
93233f08-ae76-4740-990f-34b18a1b4f66,"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",11
20f12161-0cd4-41bd-875d-714f60e57cd2,Compact car with rounded roof and structured sides.,18
20f12161-0cd4-41bd-875d-714f60e57cd2,"The vehicle features a smooth, curved top and squared sides.",23
20f12161-0cd4-41bd-875d-714f60e57cd2,"Car body showcases a rounded roofline, uniform blocks, and angular edges.",1
20f12161-0cd4-41bd-875d-714f60e57cd2,"Automobile with a gently arched roof, rectangular sides, and tiered rear.",19
20f12161-0cd4-41bd-875d-714f60e57cd2,"The car features a gently curved top with a tiered back section, rectangular sides, and a uniform block layout on the roof and side frames.",14
