structure_id,prompt,collision,already_rejected
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"A rectangular car form with a flat, slightly sloping roof. The front is angular, with the rear having a symmetrical blocky shape. The vehicle's body is composed of interlocking rectangular shapes, with prominent straight lines along the sides.",20,109
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,Car with a rectangular body and blocky contours.,24,81
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,Rectangular automobile featuring an angled roof and blocky edges.,32,159
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,"Vehicle with a flat roof, angular front, and rectangular body shape.",8,22
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,"Car with a rectangular body, flat roof, and a symmetrical rear. The sides are straight with an angular front design."
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,"A rectangular car form with a flat, slightly sloping roof. The front is angular, with the rear having a symmetrical blocky shape. The vehicle's body is composed of interlocking rectangular shapes, with prominent straight lines along the sides.",10,76
f01224e4-59cc-403b-90ff-a5f8f883978c,Compact vehicle with blocky exterior and low profile.,16,16
f01224e4-59cc-403b-90ff-a5f8f883978c,Rectangular car with tiered layers and protruding front section.,6,1
f01224e4-59cc-403b-90ff-a5f8f883978c,"Streamlined automobile with a flat top surface and angular edges, featuring a boxy front.",40,161
f01224e4-59cc-403b-90ff-a5f8f883978c,"Geometric car form with layered top, studded surface, and defined rectangular rear.",13,85,1
f01224e4-59cc-403b-90ff-a5f8f883978c,"A car with a low, flat body characterized by a tiered roof, angular sides, and a boxy front section. The vehicle's rectangular rear and studded top create a cohesive geometric appearance.",11,17
824e7fc9-7ed7-4178-85a7-0aa64b8d6b08,Compact vehicle with blocky exterior and low profile.,152,1151,1
824e7fc9-7ed7-4178-85a7-0aa64b8d6b08,Rectangular car with tiered layers and protruding front section.,16,119
824e7fc9-7ed7-4178-85a7-0aa64b8d6b08,"Streamlined automobile with a flat top surface and angular edges, featuring a boxy front.",32,111
824e7fc9-7ed7-4178-85a7-0aa64b8d6b08,"Geometric car form with layered top, studded surface, and defined rectangular rear.",108,498,2
824e7fc9-7ed7-4178-85a7-0aa64b8d6b08,"A car with a low, flat body characterized by a tiered roof, angular sides, and a boxy front section. The vehicle's rectangular rear and studded top create a cohesive geometric appearance.",41,202,2
c7df8980-3f2c-4286-ae74-51ededf16d5f,A compact car with angular features and a blocky form.,1,46,374,1
c7df8980-3f2c-4286-ae74-51ededf16d5f,"A small car with a boxy profile, angled roof, and flat surfaces.",32,135
c7df8980-3f2c-4286-ae74-51ededf16d5f,"The car features a rectangular roof, rounded front, and sloped rear.",12,29
c7df8980-3f2c-4286-ae74-51ededf16d5f,"A boxy car design with a rectangular roof, sloped rear section, and squared-off front and rear ends.",23,119
c7df8980-3f2c-4286-ae74-51ededf16d5f,This car has a rectangular roof and sloped rear. The flat roof transitions into a slightly rounded hood and trunk. The sides are smooth with an overall block-like shape.,4,67
9e0c3196-3e57-4d97-8ff3-5a84f2fdf19f,A compact car with angular features and a blocky form.,16,11
9e0c3196-3e57-4d97-8ff3-5a84f2fdf19f,"A small car with a boxy profile, angled roof, and flat surfaces.",25,78
9e0c3196-3e57-4d97-8ff3-5a84f2fdf19f,"The car features a rectangular roof, rounded front, and sloped rear.",7,24
9e0c3196-3e57-4d97-8ff3-5a84f2fdf19f,"A boxy car design with a rectangular roof, sloped rear section, and squared-off front and rear ends.",5,7
9e0c3196-3e57-4d97-8ff3-5a84f2fdf19f,This car has a rectangular roof and sloped rear. The flat roof transitions into a slightly rounded hood and trunk. The sides are smooth with an overall block-like shape.,29,98
07cb946b-b818-4af5-b01a-fed33d7610b9,"Car with a smooth roof, windows, and basic geometric form.",4,31
07cb946b-b818-4af5-b01a-fed33d7610b9,"Compact car featuring a flat roof, squared body, front and rear sections.",71,256
07cb946b-b818-4af5-b01a-fed33d7610b9,"Geometric car structure with a flat roof, rectangular sides, and boxy rear.",9,17
07cb946b-b818-4af5-b01a-fed33d7610b9,"Car with a flat top surface, upward slope toward the hood, and a squared-off rear.",2,1
07cb946b-b818-4af5-b01a-fed33d7610b9,"A car with a flat roof and tapered front. The sides are parallel and the rear is boxy. Rectangular shapes outline the windows while the top has a smooth, layered appearance.",27,128
b6e52c91-1ade-4c63-a3ec-c5d7501d2687,"Compact car with a blocky, geometric shape.",15,197
b6e52c91-1ade-4c63-a3ec-c5d7501d2687,"A compact vehicle with a tiered, angular exterior.",271,1771,2
b6e52c91-1ade-4c63-a3ec-c5d7501d2687,Small car exhibiting a layered roof and rectangular front and rear.,167,654
b6e52c91-1ade-4c63-a3ec-c5d7501d2687,"Boxy automobile showcasing a tiered roof, flat sides, and squared rear.",70,504
b6e52c91-1ade-4c63-a3ec-c5d7501d2687,"Rectangular car with a tiered roof, protruding front, and squared-off rear. The sides are flat, and the front has a broad, rectangular shape, extending towards blocky rear sections.",6,13,1
a9655ec2-993b-48e3-b33f-a31614b940f4,"Compact car with a blocky, geometric shape.",19,96
a9655ec2-993b-48e3-b33f-a31614b940f4,"A compact vehicle with a tiered, angular exterior.",7,3
a9655ec2-993b-48e3-b33f-a31614b940f4,Small car exhibiting a layered roof and rectangular front and rear.,13,34
a9655ec2-993b-48e3-b33f-a31614b940f4,"Boxy automobile showcasing a tiered roof, flat sides, and squared rear.",28,186
a9655ec2-993b-48e3-b33f-a31614b940f4,"Rectangular car with a tiered roof, protruding front, and squared-off rear. The sides are flat, and the front has a broad, rectangular shape, extending towards blocky rear sections.",10,36
c37f642b-5a0a-4857-950b-ce5570eb4f27,Compact car with angular contours and a blocky structure.,28,317
c37f642b-5a0a-4857-950b-ce5570eb4f27,Compact vehicle featuring sharp angles and a symmetrical layout.,23,83,1
c37f642b-5a0a-4857-950b-ce5570eb4f27,"Car with an angular front and rear, elevated body, and tiered contours.",5,14
c37f642b-5a0a-4857-950b-ce5570eb4f27,An angular car with a raised middle section and distinct block-like layers across the top and sides.,36,243
c37f642b-5a0a-4857-950b-ce5570eb4f27,"A compact car with a pronounced, rectangular front and rear, elevated body, and tiered, block-shaped geometric features creating a distinct, layered silhouette.",44,110
27287849-f50a-4e57-873e-93ddd6808c11,Compact car with angular contours and a blocky structure.,24,132
27287849-f50a-4e57-873e-93ddd6808c11,Compact vehicle featuring sharp angles and a symmetrical layout.,60,203,1
27287849-f50a-4e57-873e-93ddd6808c11,"Car with an angular front and rear, elevated body, and tiered contours.",140,350
27287849-f50a-4e57-873e-93ddd6808c11,An angular car with a raised middle section and distinct block-like layers across the top and sides.,59,137
27287849-f50a-4e57-873e-93ddd6808c11,"A compact car with a pronounced, rectangular front and rear, elevated body, and tiered, block-shaped geometric features creating a distinct, layered silhouette.",31,223
0846df6a-f9ef-4062-9e1c-f5aecc486c15,Compact car with a boxy shape and distinct contours.,173,758
0846df6a-f9ef-4062-9e1c-f5aecc486c15,Boxy car with layered surfaces and rectangular formation.,9,52
0846df6a-f9ef-4062-9e1c-f5aecc486c15,"Compact car featuring a boxy form, layered surfaces, and angular contours at the edges.",3,5
0846df6a-f9ef-4062-9e1c-f5aecc486c15,"Car with a box-like shape, featuring a stepped roof and a cubic front end, with layered sides and corners.",79,164
0846df6a-f9ef-4062-9e1c-f5aecc486c15,"Cubic car structure with a distinct layered top, angular sides, and pronounced front. The stepped roof meets a vertical front, blending into equally layered sides and a squared rear.",42,94
bc5cb923-046d-469e-9afc-cd701be1ed30,Compact car with a boxy shape and distinct contours.,47,253
bc5cb923-046d-469e-9afc-cd701be1ed30,Boxy car with layered surfaces and rectangular formation.,8,16
bc5cb923-046d-469e-9afc-cd701be1ed30,"Compact car featuring a boxy form, layered surfaces, and angular contours at the edges.",9,26
bc5cb923-046d-469e-9afc-cd701be1ed30,"Car with a box-like shape, featuring a stepped roof and a cubic front end, with layered sides and corners.",23,99
bc5cb923-046d-469e-9afc-cd701be1ed30,"Cubic car structure with a distinct layered top, angular sides, and pronounced front. The stepped roof meets a vertical front, blending into equally layered sides and a squared rear.",3,51
8288b113-fde7-4a76-8070-351dd0526902,"Car with blocky, angular features.",17,45
8288b113-fde7-4a76-8070-351dd0526902,A compact car showcasing a blocky exterior and angular edges.,53,402
8288b113-fde7-4a76-8070-351dd0526902,A squared-off car form with modular geometric details throughout.,32,131
8288b113-fde7-4a76-8070-351dd0526902,"The car has a low profile and features angular components, including raised rectangular panels on its surface.",2,1
8288b113-fde7-4a76-8070-351dd0526902,"This car exhibits a low-slung shape with rectangular side components and angular features, highlighted by a flat roof. The front and rear are defined by block-like protrusions, with the front having a stepped arrangement and the sides featuring recessed sections.",56,162
d6d30079-34d5-4d49-9d4b-327a43cfc675,"Car with blocky, angular features.",4,11
d6d30079-34d5-4d49-9d4b-327a43cfc675,A compact car showcasing a blocky exterior and angular edges.,29,209
d6d30079-34d5-4d49-9d4b-327a43cfc675,A squared-off car form with modular geometric details throughout.,9,46
d6d30079-34d5-4d49-9d4b-327a43cfc675,"The car has a low profile and features angular components, including raised rectangular panels on its surface.",15,48
d6d30079-34d5-4d49-9d4b-327a43cfc675,"This car exhibits a low-slung shape with rectangular side components and angular features, highlighted by a flat roof. The front and rear are defined by block-like protrusions, with the front having a stepped arrangement and the sides featuring recessed sections.",14,89
122c068d-c419-45d1-a122-99ff9b1c9f0e,"Compact car with smooth, angular contours and geometric precision.",118,611,1
122c068d-c419-45d1-a122-99ff9b1c9f0e,Sleek automobile with a symmetric shape and defined cubic elements.,56,279
122c068d-c419-45d1-a122-99ff9b1c9f0e,A streamlined vehicle featuring angular edges and layered components.,24,71
122c068d-c419-45d1-a122-99ff9b1c9f0e,"Automobile with a rectangular body, sloped front, and tiered back.",193,731,2
122c068d-c419-45d1-a122-99ff9b1c9f0e,"A compact car with a rectangular frame, featuring a flat roof and smooth front. The front and rear edges taper slightly downward. It has a layered, stepped rear section, aligning symmetrically with the front, and is elevated on four corner elements for a balanced appearance.",30,321
f17a0983-1fae-458f-b385-0ee3c8afcae4,"Compact car with smooth, angular contours and geometric precision.",2,1
f17a0983-1fae-458f-b385-0ee3c8afcae4,Sleek automobile with a symmetric shape and defined cubic elements.,61,303
f17a0983-1fae-458f-b385-0ee3c8afcae4,A streamlined vehicle featuring angular edges and layered components.,7,5
f17a0983-1fae-458f-b385-0ee3c8afcae4,"Automobile with a rectangular body, sloped front, and tiered back.",65,396
f17a0983-1fae-458f-b385-0ee3c8afcae4,"A compact car with a rectangular frame, featuring a flat roof and smooth front. The front and rear edges taper slightly downward. It has a layered, stepped rear section, aligning symmetrically with the front, and is elevated on four corner elements for a balanced appearance.",71,234
8f3de2a3-84f2-4a4d-8edd-ae4efd246c3a,Compact car with blocky contours and rounded edges.,11,44
8f3de2a3-84f2-4a4d-8edd-ae4efd246c3a,Small vehicle featuring an arched top and angular corners.,129,482,1,1
8f3de2a3-84f2-4a4d-8edd-ae4efd246c3a,"The car's design includes a smoothly curved roof over a rectangular body with layered, tiered steps at the front and back.",30,134,1
8f3de2a3-84f2-4a4d-8edd-ae4efd246c3a,"A compact car with a rounded top, flat sides, and a tiered front. The edges are sharp, creating a geometric alignment with recessed sides.",5,76
8f3de2a3-84f2-4a4d-8edd-ae4efd246c3a,"The vehicle's shape consists of a curving roof blending into a flat rear, tiered sections at the front and rear mimic headlight shapes, with recessed sides connecting a series of layered bricks for structural depth.",83,183
34d5304d-cf67-470c-8522-935e56de3c58,Compact car with blocky contours and rounded edges.,39,103
34d5304d-cf67-470c-8522-935e56de3c58,Small vehicle featuring an arched top and angular corners.,31,121
34d5304d-cf67-470c-8522-935e56de3c58,"The car's design includes a smoothly curved roof over a rectangular body with layered, tiered steps at the front and back.",15,119
34d5304d-cf67-470c-8522-935e56de3c58,"A compact car with a rounded top, flat sides, and a tiered front. The edges are sharp, creating a geometric alignment with recessed sides.",15,94
34d5304d-cf67-470c-8522-935e56de3c58,"The vehicle's shape consists of a curving roof blending into a flat rear, tiered sections at the front and rear mimic headlight shapes, with recessed sides connecting a series of layered bricks for structural depth.",7,3
627dd473-dfc6-45de-9178-e8a1c1606a62,Car with angular body and geometric contours.,29,95
627dd473-dfc6-45de-9178-e8a1c1606a62,Boxy car shape featuring a rectangular roof and compact structure.,52,253,2
627dd473-dfc6-45de-9178-e8a1c1606a62,Geometric car form with defined rectangular sections and blocky edges.,3
627dd473-dfc6-45de-9178-e8a1c1606a62,"The car showcases a distinct angular body with a flat top and prominent rectangular sides, complemented by a structured front and rear section.",81,264
627dd473-dfc6-45de-9178-e8a1c1606a62,"A car with a distinctly angular design featuring a flat, rectangular roof and block-like sides. Its body integrates several stepped layers and extends towards the rear in a unified block form, with a squared-off front and rear.",8,62
b2ed205d-f482-4ed4-8f29-892a0cc19192,Car with angular body and geometric contours.,46,164,1
b2ed205d-f482-4ed4-8f29-892a0cc19192,Boxy car shape featuring a rectangular roof and compact structure.,10,22
b2ed205d-f482-4ed4-8f29-892a0cc19192,Geometric car form with defined rectangular sections and blocky edges.,22,68
b2ed205d-f482-4ed4-8f29-892a0cc19192,"The car showcases a distinct angular body with a flat top and prominent rectangular sides, complemented by a structured front and rear section.",86,881
b2ed205d-f482-4ed4-8f29-892a0cc19192,"A car with a distinctly angular design featuring a flat, rectangular roof and block-like sides. Its body integrates several stepped layers and extends towards the rear in a unified block form, with a squared-off front and rear.",19,35
970a8e0d-bf00-49db-9c93-00945abfe351,"Car with a streamlined, blocky form and angular features.",79,174,1
970a8e0d-bf00-49db-9c93-00945abfe351,"Car featuring a compact, elongated shape with distinct angled surfaces.",18,159
970a8e0d-bf00-49db-9c93-00945abfe351,"Compact car with a sloped front, stepped top, and rectangular sides.",17,31
970a8e0d-bf00-49db-9c93-00945abfe351,"Car with an elongated rectangular body, a sloped front end, and a stepped roof. The sides are slightly recessed compared to the central body.",3
970a8e0d-bf00-49db-9c93-00945abfe351,"An elongated car with a rectangular structure, featuring a sloped front end and a stepped roof. The sides of the car are recessed, aligning with the lower body, while the rear end exhibits a block-like shape.",48,174
4f246f36-9742-4f82-afa6-3c4a7fd82117,"Car with a streamlined, blocky form and angular features.",214,590
4f246f36-9742-4f82-afa6-3c4a7fd82117,"Car featuring a compact, elongated shape with distinct angled surfaces.",13,70
4f246f36-9742-4f82-afa6-3c4a7fd82117,"Compact car with a sloped front, stepped top, and rectangular sides.",4,9
4f246f36-9742-4f82-afa6-3c4a7fd82117,"Car with an elongated rectangular body, a sloped front end, and a stepped roof. The sides are slightly recessed compared to the central body.",47,258
4f246f36-9742-4f82-afa6-3c4a7fd82117,"An elongated car with a rectangular structure, featuring a sloped front end and a stepped roof. The sides of the car are recessed, aligning with the lower body, while the rear end exhibits a block-like shape.",2
bd45a1b2-6453-4e10-a9f3-614f0d5caf8f,"Compact car with a blocky, angular form.",22,40
bd45a1b2-6453-4e10-a9f3-614f0d5caf8f,Rectangular car with stacked layers and distinct angular edges.,30,171
bd45a1b2-6453-4e10-a9f3-614f0d5caf8f,Car with a tiered rectangular structure featuring stepped front and rear sections.,28,140
bd45a1b2-6453-4e10-a9f3-614f0d5caf8f,"Boxy car with a layered top, defined front end, and elevated rear section built with rectangular units.",7,18
bd45a1b2-6453-4e10-a9f3-614f0d5caf8f,"A compact car featuring a rectangular base with layered, angular top sections. The front is characterized by stepped layers, while the rear is elevated. Sides display a uniform, blocky pattern with precise alignment, emphasizing the geometric structure.",50,158,1
d00fb171-0f21-4646-af29-2e18333fefc7,"Compact car with a blocky, angular form.",6,102
d00fb171-0f21-4646-af29-2e18333fefc7,Rectangular car with stacked layers and distinct angular edges.,12,10
d00fb171-0f21-4646-af29-2e18333fefc7,Car with a tiered rectangular structure featuring stepped front and rear sections.,44,142
d00fb171-0f21-4646-af29-2e18333fefc7,"Boxy car with a layered top, defined front end, and elevated rear section built with rectangular units.",15,63
d00fb171-0f21-4646-af29-2e18333fefc7,"A compact car featuring a rectangular base with layered, angular top sections. The front is characterized by stepped layers, while the rear is elevated. Sides display a uniform, blocky pattern with precise alignment, emphasizing the geometric structure.",17,70
b74b5903-8f01-4bba-8089-d44de9fb1ad4,Compact vehicle with a streamlined form.,43,208,2
b74b5903-8f01-4bba-8089-d44de9fb1ad4,"A compact automobile featuring a streamlined, rectangular shape.",11,16
b74b5903-8f01-4bba-8089-d44de9fb1ad4,Streamlined car with a boxy silhouette and angular edges.,64,324
b74b5903-8f01-4bba-8089-d44de9fb1ad4,"A small automobile with a rectangular body, squared edges, and tiered top surface.",20,79
b74b5903-8f01-4bba-8089-d44de9fb1ad4,"A compact car with a rectangular body, sharp angular sides, and a tiered roof, creating a layered effect on the top surface."
5e5c4d57-93fe-4baa-b5d5-bd833f041c5b,Compact vehicle with a streamlined form.,19,207
5e5c4d57-93fe-4baa-b5d5-bd833f041c5b,"A compact automobile featuring a streamlined, rectangular shape.",137,352
5e5c4d57-93fe-4baa-b5d5-bd833f041c5b,Streamlined car with a boxy silhouette and angular edges.,4,36
5e5c4d57-93fe-4baa-b5d5-bd833f041c5b,"A small automobile with a rectangular body, squared edges, and tiered top surface.",42,270
5e5c4d57-93fe-4baa-b5d5-bd833f041c5b,"A compact car with a rectangular body, sharp angular sides, and a tiered roof, creating a layered effect on the top surface.",8,47,1
95247719-1cde-40c4-b071-94dd49d7b1b8,Car with rounded roof and compact form.,4,21
95247719-1cde-40c4-b071-94dd49d7b1b8,A compact car with a squared front and rounded roof.,9,83
95247719-1cde-40c4-b071-94dd49d7b1b8,"Car featuring a rectangular body, curved roof, and squared front.",5,25
95247719-1cde-40c4-b071-94dd49d7b1b8,"Compact car with a blocky front, rounded roof, rectangular body, and tiered rear.",12,36
95247719-1cde-40c4-b071-94dd49d7b1b8,"Car with a blocky front and rectangular sides. The roof is rounded, and the rear tiered. The sides are mostly flat and vertical, providing a balanced rectangular silhouette.",36,211
395f7d08-b2a1-4e69-b382-6ccf13a00123,Car with rounded roof and compact form.,21,195,1
395f7d08-b2a1-4e69-b382-6ccf13a00123,A compact car with a squared front and rounded roof.,37,271,1,1
395f7d08-b2a1-4e69-b382-6ccf13a00123,"Car featuring a rectangular body, curved roof, and squared front.",21,197
395f7d08-b2a1-4e69-b382-6ccf13a00123,"Compact car with a blocky front, rounded roof, rectangular body, and tiered rear.",7,40
395f7d08-b2a1-4e69-b382-6ccf13a00123,"Car with a blocky front and rectangular sides. The roof is rounded, and the rear tiered. The sides are mostly flat and vertical, providing a balanced rectangular silhouette.",8,152
56cdd957-f8b9-4fa5-aa33-ee9c7ce6c6a8,Car with rounded form and segmented exterior features.,15,155
56cdd957-f8b9-4fa5-aa33-ee9c7ce6c6a8,"Compact car with sloped back, squared front, and tiered roof.",48,100,1
56cdd957-f8b9-4fa5-aa33-ee9c7ce6c6a8,Small vehicle with a layered roof and recessed front curves.,7,28,1
56cdd957-f8b9-4fa5-aa33-ee9c7ce6c6a8,"Rounded vehicle body with a tiered roof, layered sides, and squared rear.",35,59
56cdd957-f8b9-4fa5-aa33-ee9c7ce6c6a8,"Curved car structure featuring a tiered roof, segmented sides with layered bricks, a sloped rear, and a squared front.",35,119
e242eff0-9fca-4a11-9aea-38b21bb7d299,Car with rounded form and segmented exterior features.,5,13
e242eff0-9fca-4a11-9aea-38b21bb7d299,"Compact car with sloped back, squared front, and tiered roof.",21,52
e242eff0-9fca-4a11-9aea-38b21bb7d299,Small vehicle with a layered roof and recessed front curves.,65,152
e242eff0-9fca-4a11-9aea-38b21bb7d299,"Rounded vehicle body with a tiered roof, layered sides, and squared rear.",140,662,1
e242eff0-9fca-4a11-9aea-38b21bb7d299,"Curved car structure featuring a tiered roof, segmented sides with layered bricks, a sloped rear, and a squared front.",36,308
2343c4f7-cd00-40a7-94f8-67e2a05b3357,"Compact car with a streamlined, rectangular body.",263,759,1
2343c4f7-cd00-40a7-94f8-67e2a05b3357,"Small vehicle featuring a low, elongated profile and a flat top.",3,22
2343c4f7-cd00-40a7-94f8-67e2a05b3357,"Car with a rectangular form, flat top, and layered geometric contours.",3,39
2343c4f7-cd00-40a7-94f8-67e2a05b3357,"Vehicle with a low, rectangular shape, smooth top, sloped front, and rear end detailing.",52,303
2343c4f7-cd00-40a7-94f8-67e2a05b3357,"A compact rectangular vehicle with a flat upper surface, tiered sides, and a slanted front and rear, giving it a cohesive geometric look.",1
f51970b3-683a-418c-879d-e7330d805a34,"Compact car with a streamlined, rectangular body.",31,253
f51970b3-683a-418c-879d-e7330d805a34,"Small vehicle featuring a low, elongated profile and a flat top.",9,16
f51970b3-683a-418c-879d-e7330d805a34,"Car with a rectangular form, flat top, and layered geometric contours.",34,350
f51970b3-683a-418c-879d-e7330d805a34,"Vehicle with a low, rectangular shape, smooth top, sloped front, and rear end detailing.",6,28
f51970b3-683a-418c-879d-e7330d805a34,"A compact rectangular vehicle with a flat upper surface, tiered sides, and a slanted front and rear, giving it a cohesive geometric look.",71,598
7f5e9210-0e86-44dc-8526-7410f2f78c6c,Compact car with blocky build and abstract contours.,46,245
7f5e9210-0e86-44dc-8526-7410f2f78c6c,"A small car featuring layered, rectangular shapes and stepped sections.",98,235
7f5e9210-0e86-44dc-8526-7410f2f78c6c,"Car with interlocking rectangular shapes, highlighted by stepped sections and geometric lines.",36,145
7f5e9210-0e86-44dc-8526-7410f2f78c6c,"The car's body has a block-like assembly of rectangular layers, a high rear, flat roof, and contours creating a unified but segmented profile.",43,190
7f5e9210-0e86-44dc-8526-7410f2f78c6c,"A compact car displays blocky geometry with a flat roof, a high rear, and layered rectangular shapes. The sides feature stepped sections, while the front and rear extend outward slightly, emphasizing a robust and abstract form.",15,5
0ff718b0-847f-4ca0-b63f-531e9ba69bd2,Compact car with blocky build and abstract contours.,182,629
0ff718b0-847f-4ca0-b63f-531e9ba69bd2,"A small car featuring layered, rectangular shapes and stepped sections.",26,106
0ff718b0-847f-4ca0-b63f-531e9ba69bd2,"Car with interlocking rectangular shapes, highlighted by stepped sections and geometric lines.",9,48
0ff718b0-847f-4ca0-b63f-531e9ba69bd2,"The car's body has a block-like assembly of rectangular layers, a high rear, flat roof, and contours creating a unified but segmented profile.",65,230
0ff718b0-847f-4ca0-b63f-531e9ba69bd2,"A compact car displays blocky geometry with a flat roof, a high rear, and layered rectangular shapes. The sides feature stepped sections, while the front and rear extend outward slightly, emphasizing a robust and abstract form.",60,420,1
da1efdc7-6332-4d65-b959-22366e19e3cf,Compact car with distinct geometric features.,99,354
da1efdc7-6332-4d65-b959-22366e19e3cf,"Vehicle with a blocky outline, featuring angular corners and flat surfaces.",23,180
da1efdc7-6332-4d65-b959-22366e19e3cf,Automobile form with stepped protrusions at the front and a lowered rear section.,33,120
da1efdc7-6332-4d65-b959-22366e19e3cf,"Car silhouette featuring a varied elevation across its length, with separations on its top surface.",12,72
da1efdc7-6332-4d65-b959-22366e19e3cf,"A car-shaped structure with a stepped front section leading into a flat main body. The rear portion is slightly elevated, and the top surface has evenly spaced small elevations.",39,370,1
e3e40f4a-de87-4391-a9ff-819ee6568cdc,Compact car with distinct geometric features.,31,90,1
e3e40f4a-de87-4391-a9ff-819ee6568cdc,"Vehicle with a blocky outline, featuring angular corners and flat surfaces.",29,90,1
e3e40f4a-de87-4391-a9ff-819ee6568cdc,Automobile form with stepped protrusions at the front and a lowered rear section.,11,194
e3e40f4a-de87-4391-a9ff-819ee6568cdc,"Car silhouette featuring a varied elevation across its length, with separations on its top surface.",3,24
e3e40f4a-de87-4391-a9ff-819ee6568cdc,"A car-shaped structure with a stepped front section leading into a flat main body. The rear portion is slightly elevated, and the top surface has evenly spaced small elevations.",18,80
aec9be9c-6676-4f29-9fcf-4b428b0428c2,Compact car with a blocky design and angular edges.,59,347,1
aec9be9c-6676-4f29-9fcf-4b428b0428c2,"Boxy car featuring a flat roof, pronounced front, and rear bumpers.",8,68
aec9be9c-6676-4f29-9fcf-4b428b0428c2,"Car with a stepped rectangular top, angular front face, protruding bumpers, and leveled side skirts.",57,234
